,onlyDistance_mean,onlyDistance_std,onlyAngular_mean,onlyAngular_std,distanceHeuristic_mean,distanceHeuristic_std,angularHeuristic_mean,angularHeuristic_std,regions_mean,regions_std,routeMarks_mean,routeMarks_std,barriers_mean,barriers_std,distantLandmarks_mean,distantLandmarks_std,preferenceNatural_mean,preferenceNatural_std,aversionSevering_mean,aversionSevering_std,portion
group7,0.34858209,0.06892863,0.104059701,0.032026921,0.492044776,0.067586854,0.473641791,0.056897756,0.540283582,0.088858554,0.311119403,0.08052,0.526223881,0.099502371,0.743567164,0.075426509,0.498134328,0.214851668,0.541044776,0.318605552,0.183561644
group5,0.425105882,0.072466252,0.288011765,0.096602708,0.476388235,0.072209367,0.427529412,0.067617022,0.515070588,0.085216641,0.441305882,0.119052412,0.492964706,0.078333908,0.815447059,0.100132116,0.489705882,0.241069483,0.514705882,0.302157276,0.232876712
group2,0.426,0.104495614,0.084,0.028042685,0.443596154,0.118565984,0.729769231,0.076487501,0.695192308,0.153751396,0.470730769,0.109756971,0.699846154,0.129237338,0.662173077,0.096901956,0.514423077,0.222306655,0.644230769,0.272722988,0.142465753
group6,0.191666667,0.074135805,0.436388889,0.1282567,0.674111111,0.083582217,0.197611111,0.078502258,0.155222222,0.044260666,0.714166667,0.134153665,0.115666667,0.037318975,0.898,0.075397769,0.486111111,0.230444299,0.625,0.300122524,0.049315068
group4,0.185,0.050244734,0.308,0.116374396,0.627290323,0.087453299,0.442709677,0.112802539,0.341193548,0.087697366,0.736580645,0.16186883,0.295645161,0.084539359,0.762580645,0.080478475,0.491935484,0.198786642,0.596774194,0.255582825,0.084931507
group8,0.239111111,0.073871684,0.474444444,0.164027984,0.588814815,0.086424283,0.210148148,0.062332671,0.367555556,0.085582768,0.596555556,0.164167675,0.260888889,0.077611624,0.769703704,0.082139101,0.449074074,0.196908984,0.425925926,0.217224791,0.073972603
group0,0.498640625,0.107842385,0.231015625,0.078121292,0.350390625,0.100784796,0.596546875,0.084408291,0.65959375,0.10901372,0.4484375,0.101438209,0.651671875,0.098770707,0.699,0.078755196,0.501953125,0.231981829,0.50390625,0.316516843,0.175342466
group3,0.223,0.074859869,0.642166667,0.123585696,0.651416667,0.097044,0.049833333,0.028245139,0.226833333,0.058844685,0.708583333,0.083249306,0.168916667,0.059348674,0.819666667,0.066286339,0.427083333,0.303662929,0.395833333,0.344738592,0.032876712
group1,0.064222222,0.034310267,0.236777778,0.054329499,0.641777778,0.094691311,0.441777778,0.12303737,0.150333333,0.042101069,0.776777778,0.13042697,0.212444444,0.109794252,0.850666667,0.071615292,0.513888889,0.131761569,0.638888889,0.377307714,0.024657534
population,0.362873973,0.139816011,0.248372603,0.164040411,0.493213699,0.130128944,0.470493151,0.182004311,0.508805479,0.186745855,0.489928767,0.179826703,0.486268493,0.197876263,0.75720274,0.106359139,0.492465753,0.223786599,0.54109589,0.302274172,1
nullGroup,0.362873973,0.139816011,0.248372603,0.164040411,0.493213699,0.130128944,0.470493151,0.182004311,0.508805479,0.186745855,0.489928767,0.179826703,0.486268493,0.197876263,0.75720274,0.106359139,0.492465753,0.223786599,0.54109589,0.302274172,1
